year_month,week_id,city_id,city,gas_id,gas_type,venue_name,gas_price,collected_date
202205,1195,988,Salvador,487,GASOLINA COMUM,M-54 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Rodrigues Torres Comercio e Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Milla Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Torres Barbosa Comercio de Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Torres Comercio e Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Jmf - Comercio de Combustiveis Ltda,5.79,09/05/2022
202205,1195,5406,Recife,476,GNV,A. V. Combustiveis Ltda,4.39,10/05/2022
202205,1195,5406,Recife,476,GNV,Investgas Locacao e Investimento Limitada,4.39,10/05/2022
202205,1195,5406,Recife,476,GNV,Cemopel Cm Petroleo Ltda,4.39,11/05/2022
202205,1195,5406,Recife,476,GNV,Petrocal Petroleo Cavalcanti Limitada,4.39,11/05/2022
202205,1195,5406,Recife,476,GNV,Petro Joquei Combustivel Ltda,4.39,11/05/2022
202205,1195,5406,Recife,476,GNV,Campos de Morais Combustiveis Ltda,4.39,11/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,M-54 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,"Pelicano Com. de Combustíveis, Lubrif. e Serviços Ltda.",7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Torres Barbosa Comercio de Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto 4 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,M de Aguiar Com. de Combustiveis e Der. de Petroleo Ltd,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,"Coelho, Mendes & Silva Ltda",7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto de Combustiveis Jaguaribe Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto 4 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,532,DIESEL,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.5,10/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto Transicao Ltda,7.59,09/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto 4 Comercio de Combustiveis Ltda,7.59,09/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto Jequitaia Ltda,7.59,09/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto Bernardo Ltda,7.59,09/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto 4 Comercio de Combustiveis Ltda,7.59,09/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto Portoseco de Combustiveis Ltda,7.75,09/05/2022
202205,1195,988,Salvador,532,DIESEL,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.8,09/05/2022
202205,1195,988,Salvador,532,DIESEL,"Grl Organizacao Revendedora de Combustiveis, Lubrificantes Ltda",7.829,09/05/2022
202205,1195,988,Salvador,532,DIESEL,G.r.revendedora de Combustiveis e Lubrificantes Eireli,7.84,09/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Norte Braz Ltda,6.95,10/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Posto Modelo Ltda,6.97,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Posto Iputinga Eireli,6.98,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Petrovel Petróleo Veloso Ltda.,6.99,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Posto Capri Comercio de Petroleo Ltda,7.07,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Pentagas Ltda,7.08,10/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Campos de Morais Combustiveis Ltda,7.09,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Posto Leao da Ilha Ltda,7.11,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Cleonice Maria da Silva Sobral Ltda,7.15,10/05/2022
202205,1195,988,Salvador,812,DIESEL S10,"Coelho, Mendes & Silva Ltda",7.45,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,G.r.revendedora de Combustiveis e Lubrificantes Eireli,7.45,11/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Sodic Sociedade Revendedora de Combustiveis Ltda,7.45,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto de Abastecimento e Servicos Nota 10 Ltda,7.45,11/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Posto de Combustiveis Jaguaribe Ltda,7.45,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Sao Rafael Posto e Serviços Ltda,7.45,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Petromerc Derivados de Petroleo Ltda.,7.45,11/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Trevo Derivados de Petroleo Ltda,7.45,09/05/2022
202205,1195,988,Salvador,812,DIESEL S10,Ml Comércio  de Combustíveis e Serviços Ltda.,7.45,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Trevo Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,M-30 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Sitio Novo Comercio de Combustiveis e Lubrificantes Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Bernardo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Posto Novo Horizonte Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Socombustiveis Comercio de Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Oitis Comércio de Derivados de Petróleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,487,GASOLINA COMUM,Auto Posto Meridional Ltda,7.62,09/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Sobral & Filhos Comercio de Combustiveis Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto Ipanema Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto de Combustiveis Beira Mar Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Santos Pedreira Com de Combustiveis e Servicos Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Micro Posto Rio Vermelho Ltda,5.85,11/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Posto Cajazeiras Ltda.,5.85,10/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Fcl Comercio de Combustiveis Ltda.,5.85,10/05/2022
202205,1195,988,Salvador,643,ETANOL HIDRADATO,Veiga Derivados de Petroleo Ltda,5.85,11/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Posto 4 Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Sao Rafael Posto e Serviços Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Torres Comercio e Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Ml Comércio  de Combustíveis e Serviços Ltda.,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Socombustiveis Comercio de Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Milla Comercio de Combustiveis Ltda,7.62,09/05/2022
202205,1195,988,Salvador,488,GASOLINA ADITIVADA,Rodrigues Torres Comercio e Derivados de Petroleo Ltda,7.62,09/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Pentagas Ltda,6.47,10/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Petrovel Petróleo Veloso Ltda.,6.59,11/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Braz Combustiveis Eireli,6.68,10/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Norte Braz Ltda,6.69,10/05/2022
202205,1195,5406,Recife,812,DIESEL S10,C Albuquerque Comercio de Combustiveis Eireli,6.75,11/05/2022
202205,1195,5406,Recife,812,DIESEL S10,Sivini Petroleo Ltda,6.76,10/05/2022
202205,1195,5406,Recife,643,ETANOL HIDRADATO,Campos de Morais Combustiveis Ltda,5.69,11/05/2022
202205,1195,5406,Recife,643,ETANOL HIDRADATO,Roberto Fernandes de Araujo Junior Distribuidora de Combustivel - Me.,5.77,10/05/2022
202205,1195,5406,Recife,643,ETANOL HIDRADATO,Sivini Petroleo Ltda,5.78,10/05/2022
202205,1195,988,Salvador,532,DIESEL,Posto Gameleira Suburbana Ltda,7.89,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Roberto Fernandes de Araujo Junior Distribuidora de Combustivel - Me.,6.98,10/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,C Albuquerque Comercio de Combustiveis Eireli,6.98,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Posto Leao da Ilha Ltda,6.99,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Petrovel Petróleo Veloso Ltda.,6.99,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Caxanga Comercio de Combustiveis Ltda,6.99,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Petro Joquei Combustivel Ltda,6.99,11/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Investgas Locacao e Investimento Limitada,6.99,10/05/2022
202205,1195,5406,Recife,487,GASOLINA COMUM,Sivini Petroleo Ltda,6.99,10/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Posto Modelo Ltda,7.17,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Investgas Locacao e Investimento Limitada,7.19,10/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Petro Joquei Combustivel Ltda,7.19,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Petrocal Petroleo Cavalcanti Limitada,7.19,11/05/2022
202205,1195,5406,Recife,488,GASOLINA ADITIVADA,Carrefour Comercio e Industria Ltda,7.28,11/05/2022
